clustering_model,dim_red_model,d,k,time,ARI,RI
NCUT,PCA,2,5,13.784571409225464,0.19926850548015376,0.7679112764071456
NCUT,PCA,64,5,15.220537662506104,0.2428767539850833,0.7980486235319725
NCUT,PCA,128,5,13.850441217422485,0.23807372856915862,0.7969398152091278
NCUT,NoDR,256,5,14.342971086502075,0.23680825889379173,0.7969603194882132
NCUT,PCA,2,6,13.518165111541748,0.21281104504263304,0.7948475901163066
NCUT,PCA,64,6,13.548756837844849,0.28683094069100384,0.8267790616610989
NCUT,PCA,128,6,14.169834852218628,0.30111716265313987,0.8329958013545442
NCUT,NoDR,256,6,13.63282036781311,0.2946125412234671,0.8311945792995107
NCUT,PCA,2,7,13.013183116912842,0.1953956177810438,0.7897751469210459
NCUT,PCA,64,7,12.936071872711182,0.3340769517916287,0.8533841524004202
NCUT,PCA,128,7,12.61276125907898,0.34923949238021934,0.8570291823208951
NCUT,NoDR,256,7,12.59132194519043,0.3185598720132665,0.850212298151145
NCUT,PCA,2,8,12.68608021736145,0.21374052518864944,0.8250811496276107
NCUT,PCA,64,8,13.681374073028564,0.3652760401058186,0.868403536830417
NCUT,PCA,128,8,13.731844663619995,0.35606316538669497,0.8670463112801926
NCUT,NoDR,256,8,13.53743314743042,0.40914573388739456,0.879196673890482
NCUT,PCA,2,9,13.097966432571411,0.18921628620555492,0.8327521158838764
NCUT,PCA,64,9,13.135868072509766,0.33965042075381574,0.8718127675414108
NCUT,PCA,128,9,12.878552436828613,0.29358292909638034,0.8654635386600296
NCUT,NoDR,256,9,12.926400899887085,0.2915176432841198,0.865330260845975
NCUT,PCA,2,10,13.81263542175293,0.20722886648150207,0.8332032100237534
NCUT,PCA,64,10,13.399157047271729,0.33940391020158006,0.8781982732242506
NCUT,PCA,128,10,13.481145858764648,0.3227944680776227,0.8752898200986098
NCUT,NoDR,256,10,12.963455200195312,0.3331889630713809,0.878008214329652
NCUT,PCA,2,11,12.706526756286621,0.19066522168355496,0.8423323459734328
NCUT,PCA,64,11,13.680949926376343,0.3066692213934306,0.8742125568205118
NCUT,PCA,128,11,13.365496397018433,0.32483857010944706,0.8826185226193743
NCUT,NoDR,256,11,12.799801349639893,0.28923756378065435,0.8768686495881794
NCUT,PCA,2,12,12.564011573791504,0.18785096366290133,0.8511957149211217
NCUT,PCA,64,12,12.241283416748047,0.3445849473337155,0.8868581766333236
NCUT,PCA,128,12,12.90381646156311,0.30755846576612816,0.884043570015804
NCUT,NoDR,256,12,12.963423490524292,0.3225933012250824,0.8854875444390818
NCUT,PCA,2,13,12.535496950149536,0.1953324856794872,0.8518715675048185
NCUT,PCA,64,13,12.086336851119995,0.35869445012219753,0.8943619541524319
NCUT,PCA,128,13,12.444714784622192,0.3128103095404999,0.8875300860864271
NCUT,NoDR,256,13,12.147626399993896,0.3011414494735181,0.8858613532193296
NCUT,PCA,2,14,12.428715229034424,0.18470662842531674,0.8584770998747662
NCUT,PCA,64,14,12.607633113861084,0.35861530803652425,0.8974005305876527
NCUT,PCA,128,14,12.31104326248169,0.37375288982704896,0.8997001643496831
NCUT,NoDR,256,14,12.142559051513672,0.351821200421482,0.8970393398253036
NCUT,PCA,2,15,12.39518427848816,0.17535196306489179,0.85868766304845
NCUT,PCA,64,15,12.366426467895508,0.358157342969375,0.9002695524073601
NCUT,PCA,128,15,12.58976697921753,0.3174370355405521,0.8948871791474636
NCUT,NoDR,256,15,12.22929048538208,0.3208236246698429,0.8951915888292687
